survey	mode	estimate	straight	gay	bisexual	other	notSure	refused
NESARC	FTF	0.014	0.981	0.008	0.006	NA	0.005	NA
NHIS	CAPI	0.025	0.966	0.016	0.007	0.002	0.004	0.006
MIDUS II	SAQ	0.03	0.97	0.016	0.014	NA	NA	NA
NISVS	CATI	0.034	0.966	0.016	0.018	NA	NA	NA
Gallup	Telephone	0.034	0.922	NA	NA	NA	NA	0.044
NSFG	ACASI	0.045	0.945	0.015	0.027	0.003	NA	0.011
GSS	CASI	0.047	0.94	0.019	0.028	NA	0.003	0.017
NHANES	ACASI	0.048	0.936	0.018	0.026	0.004	0.013	0.002
NSSHB	Online	0.072	0.928	0.023	0.034	0.015	NA	NA
YouGov	Online	0.09	0.89	0.04	0.04	0.01	NA	0.02
Coffman	Online	0.113	0.887	NA	NA	NA	NA	NA
Epstein	Online	0.222	0.778	0.017	0.177	0.028	NA	NA
